QUOTE
1. “It’s not my fault.” – Han Solo
2. “Your focus determines your reality.” – Qui-Gon Jinn
3. “Do. Or do not. There is no try.” – Yoda
4. “Somebody has to save our skins.” – Leia Organa
5. “In my experience there is no such thing as luck.” – Obi-Wan Kenobi
6. “I find your lack of faith disturbing.” – Darth Vader
7. “I’ve got a bad feeling about this.” – basically everyone
8. “It’s a trap!” – Admiral Ackbar
9. “So this is how liberty dies…with thunderous applause.” – Padmé Amidala
10. “Your eyes can deceive you. Don’t trust them.” – Obi-Wan Kenobi
11. “Never tell me the odds.” – Han Solo
12. “Mind tricks don’t work on me.” – Watto
"13. “Great, kid. Don’t get cocky.” – Han Solo"
14. “Stay on target.” – Gold Five
"15. “This is a new day, a new beginning.” – Ahsoka Tano"
